     6.000     6.000     4.000     6.000     3.000     5.000     7.000     5.000     6.000     8.000     6.000     4.000     7.000     8.000     3.000     7.000 10525.000     0.512     1.194     0.468     1.563     2.173    -0.155     0.045    -0.027     0.090    -0.157     5.045     5.594     4.989     4.953     3.022     2.768     5.552     5.662     5.266     4.578     3.743     3.732     3.930     4.634     4.707     4.512 21
     0.000     0.000     1.000     4.000     3.000     3.000     7.000     5.000     7.000     5.000     3.000     5.000     2.000     5.000     2.000     0.000 10595.000    -3.864    -0.245     0.473    -0.138    -1.301    -0.155     0.045    -0.027     0.090    -0.157     5.045     5.594     4.989     4.953     3.022     2.768     5.552     5.662     5.266     4.578     3.743     3.732     3.930     4.634     4.707     4.512 21
     5.000     4.000    10.000     7.000     4.000     2.000     7.000     6.000     9.000     9.000     5.000     8.000     6.000     8.000    10.000     8.000 10666.000     0.883     0.263     1.716     2.395     3.052    -0.155     0.045    -0.027     0.090    -0.157     5.045     5.594     4.989     4.953     3.022     2.768     5.552     5.662     5.266     4.578     3.743     3.732     3.930     4.634     4.707     4.512 21
     8.000     7.000     7.000     5.000     4.000     2.000     7.000     5.000     5.000     7.000     7.000     7.000     5.000     8.000     5.000     4.000  8261.000     1.573    -0.170     0.185     2.745     2.022     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     4.000     3.000     3.000     5.000     3.000     2.000     7.000     5.000     5.000     4.000     4.000     3.000     5.000     3.000     3.000     6.000  8404.000    -1.767    -0.469    -0.032    -0.115    -0.164     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     5.000     6.000     5.000     4.000     3.000     3.000     5.000     3.000     3.000     2.000     2.000     2.000     3.000     2.000     1.000     2.000  8432.000    -0.446    -0.198    -1.623    -1.556    -1.953     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     9.000     7.000     8.000     6.000     3.000     3.000     7.000    10.000     9.000     5.000     0.000     3.000     3.000     4.000     2.000     2.000  8450.000     1.887     0.406     2.773    -1.680    -1.162     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     7.000     7.000     6.000     2.000     4.000     1.000     6.000     8.000     7.000     8.000     7.000     7.000     6.000     9.000     7.000     7.000  8501.000     1.092    -1.177     1.446     2.947     3.153     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     6.000     4.000     6.000     5.000     4.000     2.000     5.000     7.000     6.000     3.000     3.000     4.000     2.000     4.000     3.000     3.000  8517.000    -0.317    -0.246     0.501    -0.413    -1.026     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     6.000     3.000     9.000     6.000     6.000     4.000     7.000     3.000     5.000     0.000     2.000     5.000     3.000     3.000     6.000     8.000  8599.000     0.091     1.061    -0.477    -0.764    -0.343     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     7.000     7.000     2.000     6.000     4.000     3.000     7.000     8.000     7.000     7.000     4.000     6.000     6.000     9.000     3.000     6.000  8625.000     0.354     0.423     1.634     1.245     2.123     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     5.000     5.000     7.000     4.000     4.000     3.000     2.000     4.000     1.000     5.000     2.000     2.000     1.000     0.000     4.000     4.000  8839.000    -0.370    -0.081    -2.563    -1.331    -2.468     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     2.000     5.000     3.000     4.000     2.000     2.000     5.000     5.000     2.000     4.000     3.000     4.000     2.000     5.000     3.000     2.000  8879.000    -1.945    -0.832    -1.421    -0.358    -0.944     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     4.000     8.000     5.000     6.000     3.000     2.000     5.000     6.000     3.000     2.000     2.000     2.000     0.000     1.000     0.000     1.000  8932.000    -0.199    -0.203    -0.805    -1.677    -3.236     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     6.000     7.000     6.000     5.000     3.000     4.000     7.000     3.000     2.000     6.000     6.000     6.000     5.000     7.000     3.000     7.000  8957.000     0.722     0.482    -1.363     1.903     1.518     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     5.000     7.000     7.000     4.000     3.000     3.000     7.000     7.000     5.000     5.000     4.000     4.000     2.000     4.000     4.000     4.000  9028.000     0.491    -0.092     0.617     0.244    -0.623     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     3.000     5.000     4.000     6.000     4.000     3.000     3.000     5.000     6.000     6.000     6.000     5.000     7.000     8.000     4.000     7.000  9038.000    -1.050     0.303    -0.340     1.697     2.357     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
     5.000     7.000     7.000     3.000     2.000     2.000     5.000     5.000     3.000     6.000     4.000     5.000     3.000     6.000     2.000     3.000  9062.000     0.370    -0.901    -0.990     0.639    -0.077     0.228     0.161    -0.085    -0.025    -0.220     5.428     5.969     5.368     5.069     3.221     2.786     5.494     5.598     5.211     4.463     3.641     3.631     3.867     4.477     4.532     4.319 17
